time_tag,satellite,flux,energy
2024-08-13T13:45:00Z,16,4.0,>=2 MeV
2024-08-13T13:50:00Z,16,4.0,>=2 MeV
2024-08-13T13:55:00Z,16,4.0,>=2 MeV
2024-08-13T14:00:00Z,16,4.0,>=2 MeV
2024-08-13T14:05:00Z,16,4.0,>=2 MeV
2024-08-13T14:10:00Z,16,4.0,>=2 MeV
2024-08-13T14:15:00Z,16,4.0,>=2 MeV
2024-08-13T14:20:00Z,16,27.74948883,>=2 MeV
2024-08-13T14:25:00Z,16,4.0,>=2 MeV
2024-08-13T14:30:00Z,16,4.0,>=2 MeV
2024-08-13T14:35:00Z,16,34.70037079,>=2 MeV
2024-08-13T14:40:00Z,16,4.0,>=2 MeV
2024-08-13T14:45:00Z,16,4.0,>=2 MeV
2024-08-13T14:50:00Z,16,4.0,>=2 MeV
2024-08-13T14:55:00Z,16,4.0,>=2 MeV
2024-08-13T15:00:00Z,16,4.0,>=2 MeV
2024-08-13T15:05:00Z,16,4.0,>=2 MeV
2024-08-13T15:10:00Z,16,4.0,>=2 MeV
2024-08-13T15:15:00Z,16,4.0,>=2 MeV
2024-08-13T15:20:00Z,16,4.0,>=2 MeV
2024-08-13T15:25:00Z,16,4.0,>=2 MeV
2024-08-13T15:30:00Z,16,4.0,>=2 MeV
2024-08-13T15:35:00Z,16,17.69397545,>=2 MeV
2024-08-13T15:40:00Z,16,4.0,>=2 MeV
2024-08-13T15:45:00Z,16,4.0,>=2 MeV
2024-08-13T15:50:00Z,16,5.988035679,>=2 MeV
2024-08-13T15:55:00Z,16,4.0,>=2 MeV
2024-08-13T16:00:00Z,16,10.44081402,>=2 MeV
2024-08-13T16:05:00Z,16,37.00084305,>=2 MeV
2024-08-13T16:10:00Z,16,37.51538467,>=2 MeV
2024-08-13T16:15:00Z,16,4.0,>=2 MeV
2024-08-13T16:20:00Z,16,41.20659637,>=2 MeV
2024-08-13T16:25:00Z,16,4.0,>=2 MeV
2024-08-13T16:30:00Z,16,4.0,>=2 MeV
2024-08-13T16:35:00Z,16,4.0,>=2 MeV
2024-08-13T16:40:00Z,16,4.0,>=2 MeV
2024-08-13T16:45:00Z,16,8.137433052,>=2 MeV
2024-08-13T16:50:00Z,16,20.49249649,>=2 MeV
2024-08-13T16:55:00Z,16,26.05299377,>=2 MeV
2024-08-13T17:00:00Z,16,4.0,>=2 MeV
2024-08-13T17:05:00Z,16,4.0,>=2 MeV
2024-08-13T17:10:00Z,16,4.0,>=2 MeV
2024-08-13T17:15:00Z,16,4.0,>=2 MeV
2024-08-13T17:20:00Z,16,119.4958344,>=2 MeV
2024-08-13T17:25:00Z,16,4.0,>=2 MeV
2024-08-13T17:30:00Z,16,4.0,>=2 MeV
2024-08-13T17:35:00Z,16,4.0,>=2 MeV
2024-08-13T17:40:00Z,16,4.0,>=2 MeV
2024-08-13T17:45:00Z,16,4.0,>=2 MeV
2024-08-13T17:50:00Z,16,5.333990097,>=2 MeV
2024-08-13T17:55:00Z,16,4.0,>=2 MeV
2024-08-13T18:00:00Z,16,4.0,>=2 MeV
2024-08-13T18:05:00Z,16,63.46293259,>=2 MeV
2024-08-13T18:10:00Z,16,4.0,>=2 MeV
2024-08-13T18:15:00Z,16,4.0,>=2 MeV
2024-08-13T18:20:00Z,16,4.0,>=2 MeV
2024-08-13T18:25:00Z,16,4.0,>=2 MeV
2024-08-13T18:30:00Z,16,10.21262074,>=2 MeV
2024-08-13T18:35:00Z,16,4.0,>=2 MeV
2024-08-13T18:40:00Z,16,4.0,>=2 MeV
2024-08-13T18:45:00Z,16,4.0,>=2 MeV
2024-08-13T18:50:00Z,16,67.23505402,>=2 MeV
2024-08-13T18:55:00Z,16,4.0,>=2 MeV
2024-08-13T19:00:00Z,16,4.0,>=2 MeV
2024-08-13T19:05:00Z,16,4.0,>=2 MeV
2024-08-13T19:10:00Z,16,4.0,>=2 MeV
2024-08-13T19:15:00Z,16,4.0,>=2 MeV
2024-08-13T19:20:00Z,16,4.0,>=2 MeV
2024-08-13T19:25:00Z,16,4.0,>=2 MeV
2024-08-13T19:30:00Z,16,4.0,>=2 MeV
2024-08-13T19:35:00Z,16,34.70323944,>=2 MeV
2024-08-13T19:40:00Z,16,5.125653267,>=2 MeV
2024-08-13T19:45:00Z,16,25.48999786,>=2 MeV
2024-08-13T19:50:00Z,16,4.0,>=2 MeV
2024-08-13T19:55:00Z,16,7.241152287,>=2 MeV
2024-08-13T20:00:00Z,16,4.0,>=2 MeV
2024-08-13T20:05:00Z,16,4.0,>=2 MeV
2024-08-13T20:10:00Z,16,4.0,>=2 MeV
2024-08-13T20:15:00Z,16,4.0,>=2 MeV
2024-08-13T20:20:00Z,16,36.83548355,>=2 MeV
2024-08-13T20:25:00Z,16,7.317725658,>=2 MeV
2024-08-13T20:30:00Z,16,4.0,>=2 MeV
2024-08-13T20:35:00Z,16,4.0,>=2 MeV
2024-08-13T20:40:00Z,16,4.0,>=2 MeV
2024-08-13T20:45:00Z,16,18.24973106,>=2 MeV
2024-08-13T20:50:00Z,16,4.0,>=2 MeV
2024-08-13T20:55:00Z,16,4.0,>=2 MeV
2024-08-13T21:00:00Z,16,4.0,>=2 MeV
2024-08-13T21:05:00Z,16,14.35566711,>=2 MeV
2024-08-13T21:10:00Z,16,29.47628021,>=2 MeV
2024-08-13T21:15:00Z,16,4.0,>=2 MeV
2024-08-13T21:20:00Z,16,54.61128235,>=2 MeV
